date,name,isin_or_symbol,nav,currency
15/08/2025,JPM Global Dividend A,LU0714179727,"€ 66,500.00",EUR
15/08/2025,Generali Core Smart Target VII,Generali Core Smart Target VII,"€ 92,111.00",EUR
15/08/2025,LUX IM PIMCO Income D,LU1732788614,"€ 60,000.00",EUR
15/08/2025,BG Coll. Muzinich Target Date AY,LU2613271126,"€ 101,000.00",EUR
15/08/2025,LUX IM Algebris Financial Credit Bond,LU0972033939,"€ 47,100.00",EUR
15/08/2025,BG Coll. JP Morgan Target Date AY,LU2613273098,"€ 125,806.00",EUR
16/08/2025,Ener2crowd,Ener2crowd,"€ 26,800.00",EUR
